"","Distance","MeanCounts","MeanBinDensity","MeanTotalDensity","MeanPropOcc","SDPropOcc","source","TimePoint","Position"
"1",0.5,47.58,0.00577362469118457,2.32283453842074e-05,0.351885206451345,0.202223794300371,"finalGG",0,2
"2",1.5,136.92,0.0175381760111646,7.0983747509581e-05,0.146327575574553,0.083770167230315,"finalGG",0,2
"3",2.5,145.34,0.019219794012401,7.58564115184849e-05,0.0574885974461041,0.0449448693459471,"finalGG",0,2
"4",3.5,140.72,0.0177890410314425,6.85846805642557e-05,0.0285554727847045,0.0297896615550372,"finalGG",0,2
"5",4.5,142.1,0.0176597856745264,7.05242476059844e-05,0.017913509838817,0.0192642587962972,"finalGG",0,2
"6",5.5,159.38,0.0200560202710898,8.18188496708442e-05,0.0143212672293247,0.014882332502607,"finalGG",0,2
"7",6.5,172.38,0.0214101134177238,8.19461391537252e-05,0.0115131296947013,0.010433733271644,"finalGG",0,2
"8",7.5,162.38,0.020558296392796,7.76053398077856e-05,0.00859706999460016,0.00756795393223252,"finalGG",0,2
"9",8.5,173.44,0.0212684476659589,8.18216626277395e-05,0.00753795841569145,0.00763115261152107,"finalGG",0,2
"10",9.5,184.04,0.0225557994442124,8.57504563868917e-05,0.00673333654276548,0.00598277585086432,"finalGG",0,2
"11",10.5,175.84,0.0215367377728335,8.27234431822135e-05,0.00553942948216617,0.00404460182380236,"finalGG",0,2
"12",11.5,190.78,0.0226337394607465,8.8717159100081e-05,0.00517470144724619,0.00408134823745639,"finalGG",0,2
"13",12.5,192.32,0.0223776647208511,9.25540081393049e-05,0.00470588669703762,0.00412714482320047,"finalGG",0,2
"14",13.5,195.06,0.0223259037746801,9.40434305401772e-05,0.00427559847566559,0.00410471175624714,"finalGG",0,2
"15",14.5,220.6,0.025705948305626,0.000104919187938672,0.00426077997034032,0.00383828728870266,"finalGG",0,2
"16",15.5,285.12,0.0328892825411929,0.000132572890694618,0.00482773592781864,0.00368518735893325,"finalGG",0,2
"17",16.5,300.98,0.0349553064607327,0.000144104990087188,0.00467672685380605,0.00381378132280443,"finalGG",0,2
"18",17.5,313.62,0.0353452043004379,0.000145808867230642,0.00432856008577578,0.00334380647330723,"finalGG",0,2
"19",18.5,329.66,0.0371253319962676,0.00015175615828693,0.00411169170123244,0.002919176373452,"finalGG",0,2
"20",19.5,369.62,0.0402744674920859,0.000163971336829972,0.00409384864400829,0.00292425399345718,"finalGG",0,2
"21",20.5,359.64,0.0398595168449176,0.000159659504536526,0.00366363575247449,0.00251875776626294,"finalGG",0,2
"22",21.5,367.54,0.0412343671735135,0.00015990210064709,0.00338286129707839,0.00202886966242578,"finalGG",0,2
"23",22.5,399.46,0.0455608469304227,0.000184839275349904,0.00364430929704993,0.00227814886310786,"finalGG",0,2
"24",23.5,447.2,0.0514620768873738,0.000206880985717345,0.00380024422960484,0.00237685765240365,"finalGG",0,2
"25",24.5,454,0.0526386205378973,0.000217448012912554,0.00376107198424248,0.00295449390162557,"finalGG",0,2
"26",25.5,406.82,0.0470190476304738,0.000195250991869639,0.00316295648657161,0.00239054553855679,"finalGG",0,2
"27",26.5,439.74,0.0513301130210232,0.00020252285130785,0.00305438680861457,0.00149616489028884,"finalGG",0,2
"28",27.5,483.22,0.0567611284970056,0.000217142956045347,0.00306283680379852,0.00135317980946072,"finalGG",0,2
