"","frequency","avg","suma","bin","min","max","BiomassBin","Density","Species","Condition","TimePoint","Sample","Strain"
"1",1189,4.18378815946173,4974.5241216,1,0,50,0.954554013816804,0.996647108130763,"Pa","Pa Mono",0,"rep1","PA14mut"
"2",4,59.20884288,236.83537152,2,50,100,0.0454459861831962,0.00335289186923722,"Pa","Pa Mono",0,"rep1","PA14mut"
"3",1749,3.03464274113208,5307.59015424,1,0,50,0.894592932201024,0.996013667425968,"Pa","Pa Mono",0,"rep1","PA14wt"
"4",5,62.902591488,314.51295744,2,50,100,0.0530110767099639,0.00284738041002278,"Pa","Pa Mono",0,"rep1","PA14wt"
"5",1,112.60643328,112.60643328,3,100,150,0.0189797848750963,0.000569476082004556,"Pa","Pa Mono",0,"rep1","PA14wt"
"6",1,198.2572416,198.2572416,4,150,200,0.0334162062139154,0.000569476082004556,"Pa","Pa Mono",0,"rep1","PA14wt"
"7",1579,5.35952264511716,8462.68625664,1,0,50,0.70971234585364,0.974090067859346,"Pa","Pa Mono",0,"rep2","PA14mut"
"8",31,64.6117892129032,2002.9654656,2,50,100,0.167976133835689,0.0191239975323874,"Pa","Pa Mono",0,"rep2","PA14mut"
"9",9,113.93189632,1025.38706688,3,100,150,0.085992773284298,0.00555212831585441,"Pa","Pa Mono",0,"rep2","PA14mut"
"10",1,189.0573696,189.0573696,4,150,200,0.0158550542003678,0.000616903146206046,"Pa","Pa Mono",0,"rep2","PA14mut"
"11",1,244.01127168,244.01127168,5,200,250,0.0204636928260059,0.000616903146206046,"Pa","Pa Mono",0,"rep2","PA14mut"
"12",1826,5.1156360173494,9341.15136768,1,0,50,0.86890057792256,0.992391304347826,"Pa","Pa Mono",0,"rep2","PA14wt"
"13",10,66.076547328,660.76547328,2,50,100,0.0614634619443985,0.00543478260869565,"Pa","Pa Mono",0,"rep2","PA14wt"
"14",3,117.15525888,351.46577664,3,100,150,0.0326928452844828,0.0016304347826087,"Pa","Pa Mono",0,"rep2","PA14wt"
