aggregateSizeList1,aggregateSizeList2
7.69722624,Sa
6.96123648,Sa
6.07191552,Sa
6.04124928,Sa
12.78782208,Sa
8.46388224,Sa
5.91858432,Sa
5.42792448,Sa
8.31055104,Sa
5.18259456,Sa
9.38386944,Sa
4.01727744,Sa
5.8265856,Sa
6.2865792,Sa
6.5932416,Sa
17.29575936,Sa
6.77723904,Sa
4.96793088,Sa
7.14523392,Sa
2.42263296,Sa
11.49984,Sa
15.70111488,Sa
5.02926336,Sa
4.81459968,Sa
5.91858432,Sa
6.53190912,Sa
1.50264576,Sa
7.78922496,Sa
5.2132608,Sa
19.44239616,Sa
5.94925056,Sa
2.7599616,Sa
11.53050624,Sa
11.71450368,Sa
5.94925056,Sa
15.30245376,Sa
18.15441408,Sa
7.0532352,Sa
4.10927616,Sa
8.37188352,Sa
3.86394624,Sa
8.18788608,Sa
8.433216,Sa
11.3465088,Sa
5.18259456,Sa
2.39196672,Sa
9.966528,Sa
5.94925056,Sa
8.1265536,Sa
4.99859712,Sa
12.5731584,Sa
3.6799488,Sa
6.133248,Sa
8.1265536,Sa
6.899904,Sa
7.5132288,Sa
8.49454848,Sa
6.37857792,Sa
5.58125568,Sa
7.45189632,Sa
3.71061504,Sa
4.99859712,Sa
9.90519552,Sa
1.50264576,Sa
5.85725184,Sa
2.48396544,Sa
14.75046144,Sa
1.90130688,Sa
8.21855232,Sa
5.58125568,Sa
3.5266176,Sa
2.7599616,Sa
7.66656,Sa
1.3799808,Sa
9.72119808,Sa
1.87064064,Sa
11.74516992,Sa
9.84386304,Sa
3.77194752,Sa
2.63729664,Sa
54.49390848,Sa
7.60522752,Sa
6.4399104,Sa
4.599936,Sa
2.23863552,Sa
7.63589376,Sa
28.73426688,Sa
6.01058304,Sa
4.72260096,Sa
2.57596416,Sa
5.45859072,Sa
5.73458688,Sa
0.3066624,Sa
5.30525952,Sa
4.4466048,Sa
12.84915456,Sa
5.9799168,Sa
6.31724544,Sa
5.55058944,Sa
5.6732544,Sa
0.3066624,Sa
6.37857792,Sa
2.08530432,Sa
4.10927616,Sa
6.01058304,Sa
10.97851392,Sa
4.99859712,Sa
1.47197952,Sa
5.09059584,Sa
3.15862272,Sa
2.48396544,Sa
1.62531072,Sa
3.5266176,Sa
3.71061504,Sa
1.6866432,Sa
3.74128128,Sa
2.33063424,Sa
1.31864832,Sa
3.40395264,Sa
2.72929536,Sa
3.2199552,Sa
2.6066304,Sa
1.533312,Sa
0.4599936,Sa
2.11597056,Sa
6.04124928,Sa
3.64928256,Sa
3.6799488,Sa
0.9199872,Sa
1.56397824,Sa
0.79732224,Sa
5.94925056,Sa
5.48925696,Sa
15.57844992,Sa
10.24252416,Sa
0.9199872,Sa
5.48925696,Sa
55.13789952,Sa
2.11597056,Sa
0.39866112,Sa
7.08390144,Sa
6.19458048,Sa
2.6066304,Sa
9.93586176,Sa
0.49065984,Sa
6.53190912,Sa
4.01727744,Sa
3.28128768,Sa
9.26120448,Sa
3.49595136,Sa
5.15192832,Sa
5.33592576,Sa
3.74128128,Sa
0.52132608,Sa
0.52132608,Sa
0.67465728,Sa
6.2865792,Sa
2.63729664,Sa
2.48396544,Sa
3.80261376,Sa
2.79062784,Sa
7.66656,Sa
6.71590656,Sa
0.3066624,Sa
0.52132608,Sa
4.26260736,Sa
8.2798848,Sa
0.6133248,Sa
1.04265216,Sa
1.65597696,Sa
2.20796928,Sa
3.86394624,Sa
6.01058304,Sa
35.75683584,Sa
1.41064704,Sa
1.6866432,Sa
8.15721984,Sa
0.52132608,Sa
6.133248,Sa
9.26120448,Sa
2.299968,Sa
2.88262656,Sa
1.47197952,Sa
6.25591296,Sa
0.55199232,Sa
6.62390784,Sa
5.73458688,Sa
1.34931456,Sa
3.40395264,Sa
5.88791808,Sa
0.79732224,Sa
1.77864192,Sa
5.366592,Sa
1.50264576,Sa
3.83328,Sa
7.26789888,Sa
8.46388224,Sa
6.2865792,Sa
6.31724544,Sa
0.98131968,Sa
22.93834752,Sa
34.1928576,Sa
13.06381824,Sa
4.1399424,Sa
1.44131328,Sa
1.25731584,Sa
4.35460608,Sa
1.96263936,Sa
11.62250496,Sa
6.53190912,Sa
2.66796288,Sa
1.62531072,Sa
0.33732864,Sa
9.72119808,Sa
2.97462528,Sa
3.31195392,Sa
0.95065344,Sa
7.17590016,Sa
0.39866112,Sa
0.39866112,Sa
2.299968,Sa
2.1466368,Sa
0.6133248,Sa
0.33732864,Sa
2.299968,Sa
0.33732864,Sa
3.46528512,Sa
4.78393344,Sa
7.02256896,Sa
1.9933056,Sa
19.44239616,Sa
0.39866112,Sa
0.33732864,Sa
2.48396544,Sa
0.3066624,Sa
8.52521472,Sa
4.23194112,Sa
8.49454848,Sa
4.56926976,Sa
