aggregateSizeList1,aggregateSizeList2
454.99500288,Sa
0.33732864,Sa
4.23194112,Sa
1672.16873472,Sa
8.18788608,Sa
0.85865472,Sa
0.36799488,Sa
0.3066624,Sa
0.766656,Sa
348.9818112,Sa
2.08530432,Sa
1633.37594112,Sa
322.63951104,Sa
0.36799488,Sa
7.5132288,Sa
4647.65266944,Sa
7.3598976,Sa
0.3066624,Sa
0.36799488,Sa
0.3066624,Sa
5.88791808,Sa
65.16576,Sa
20.88370944,Sa
8.92387584,Sa
68.6923776,Sa
0.33732864,Sa
5.48925696,Sa
54.432576,Sa
337.38997248,Sa
440.48987136,Sa
2.97462528,Sa
155.38583808,Sa
0.3066624,Sa
0.3066624,Sa
2.11597056,Sa
11.3465088,Sa
5.33592576,Sa
33.21153792,Sa
0.33732864,Sa
70.71634944,Sa
80.92820736,Sa
1305.4618368,Sa
0.52132608,Sa
0.3066624,Sa
100.46260224,Sa
0.36799488,Sa
29.93025024,Sa
95.15734272,Sa
25.54497792,Sa
529.759296,Sa
0.36799488,Sa
16.34510592,Sa
0.42932736,Sa
0.55199232,Sa
0.33732864,Sa
0.33732864,Sa
0.39866112,Sa
12.266496,Sa
1.41064704,Sa
0.36799488,Sa
0.3066624,Sa
1.6866432,Sa
10.39585536,Sa
1.01198592,Sa
21.37436928,Sa
6.07191552,Sa
3.03595776,Sa
16.95843072,Sa
5.15192832,Sa
4.41593856,Sa
1.31864832,Sa
0.64399104,Sa
4.17060864,Sa
2.36130048,Sa
1.87064064,Sa
31.21823232,Sa
135.60611328,Sa
0.33732864,Sa
1.01198592,Sa
1.96263936,Sa
3.86394624,Sa
8.03455488,Sa
0.52132608,Sa
24.01166592,Sa
11.62250496,Sa
3.066624,Sa
1.25731584,Sa
22.8463488,Sa
0.33732864,Sa
3.3732864,Sa
1.74797568,Sa
1.47197952,Sa
1.65597696,Sa
33.30353664,Sa
6.47057664,Sa
403.32238848,Sa
43.30073088,Sa
0.33732864,Sa
50.53796352,Sa
190.65201408,Sa
9.10787328,Sa
1.31864832,Sa
0.36799488,Sa
9.62919936,Sa
0.39866112,Sa
41.92075008,Sa
4.47727104,Sa
0.39866112,Sa
0.39866112,Sa
14.93445888,Sa
150.8779008,Sa
2.33063424,Sa
3.40395264,Sa
36.70748928,Sa
0.49065984,Sa
13.86114048,Sa
4.93726464,Sa
2.66796288,Sa
1.65597696,Sa
3.46528512,Sa
0.70532352,Sa
608.01954048,Sa
0.39866112,Sa
0.33732864,Sa
16.5597696,Sa
0.95065344,Sa
0.33732864,Sa
1.13465088,Sa
6.68524032,Sa
0.33732864,Sa
329.32475136,Sa
168.32699136,Sa
1.01198592,Sa
2.94395904,Sa
3.25062144,Sa
186.6040704,Sa
4.93726464,Sa
0.67465728,Sa
9.41453568,Sa
3.09729024,Sa
1.62531072,Sa
5.88791808,Sa
27.99827712,Sa
7.69722624,Sa
19.10506752,Sa
2.17730304,Sa
0.36799488,Sa
0.55199232,Sa
14.8731264,Sa
1.19598336,Sa
1.0733184,Sa
0.3066624,Sa
0.42932736,Sa
0.39866112,Sa
0.39866112,Sa
36.83015424,Sa
17.72508672,Sa
1.25731584,Sa
0.36799488,Sa
29.71558656,Sa
0.88932096,Sa
4.53860352,Sa
0.52132608,Sa
4.96793088,Sa
0.85865472,Sa
1.93197312,Sa
0.49065984,Sa
1.62531072,Sa
0.36799488,Sa
15.85444608,Sa
0.39866112,Sa
0.3066624,Sa
0.33732864,Sa
0.33732864,Sa
0.33732864,Sa
0.9199872,Sa
0.4599936,Sa
13.40114688,Sa
1.96263936,Sa
0.64399104,Sa
20.91437568,Sa
2.36130048,Sa
0.3066624,Sa
1.01198592,Sa
0.42932736,Sa
194.45462784,Sa
3.61861632,Sa
23.1530112,Sa
1.6866432,Sa
3.9866112,Sa
0.36799488,Sa
2.33063424,Sa
34.62218496,Sa
84.54682368,Sa
1.01198592,Sa
1.01198592,Sa
114.44640768,Sa
2.08530432,Sa
0.3066624,Sa
25.26898176,Sa
7.48256256,Sa
1.01198592,Sa
0.3066624,Sa
0.64399104,Sa
2.54529792,Sa
80.86687488,Sa
21.9263616,Sa
0.3066624,Sa
0.3066624,Sa
0.42932736,Sa
56.82454272,Sa
0.55199232,Sa
3.43461888,Sa
0.9199872,Sa
1.71730944,Sa
0.766656,Sa
0.4599936,Sa
0.3066624,Sa
96.19999488,Sa
25.42231296,Sa
0.36799488,Sa
10.733184,Sa
0.3066624,Sa
0.3066624,Sa
1246.18399488,Sa
0.64399104,Sa
0.3066624,Sa
0.42932736,Sa
0.3066624,Sa
0.36799488,Sa
6.4399104,Sa
0.6133248,Sa
0.33732864,Sa
0.3066624,Sa
20.17838592,Sa
4.2932736,Sa
2.11597056,Sa
14.2598016,Sa
0.33732864,Sa
0.3066624,Sa
3.34262016,Sa
0.39866112,Sa
0.52132608,Sa
0.36799488,Sa
0.3066624,Sa
2.02397184,Sa
1.65597696,Sa
6.68524032,Sa
0.36799488,Sa
