"distance","meanCounts","normDensity","funcDensity","rawDensity","normPropOccup","source","timePoint","position"
0.5,21.8966,0.0364422664500388,0.0364422664500388,0.00069007244907918,0.485774446873681,"finalGG",0,0
1.5,41.9789831865492,0.0518583149455994,0.0518583149455994,0.0013229697641367,0.310433542768672,"finalGG",0,0
2.5,47.4267015706806,0.0462825131530004,0.0462825131530004,0.00149465488270448,0.210431571317378,"finalGG",0,0
3.5,46.8720177921553,0.0385237631275188,0.0385237631275188,0.0014771739955571,0.148550319728944,"finalGG",0,0
4.5,44.9365111561866,0.0342596210114615,0.0342596210114615,0.00141617640668522,0.110768129660564,"finalGG",0,0
5.5,47.5310975609756,0.0347936625784987,0.0347936625784987,0.00149794492758346,0.0958612612625699,"finalGG",0,0
6.5,48.5033625433055,0.0344655228524709,0.0344655228524709,0.00152858590734791,0.0827725769543,"finalGG",0,0
7.5,45.8570845242956,0.0320570353156857,0.0320570353156857,0.00144518832263053,0.0678224012556876,"finalGG",0,0
8.5,45.2886661211129,0.0316136170261108,0.0316136170261108,0.00142727458809704,0.0591015116895141,"finalGG",0,0
9.5,42.8050030756613,0.0303084417074333,0.0303084417074333,0.00134900182244108,0.0499803062251567,"finalGG",0,0
10.5,41.6775123558484,0.0296991918917582,0.0296991918917582,0.00131346889576136,0.0440291676327511,"finalGG",0,0
11.5,41.6929624247457,0.0299595975534616,0.0299595975534616,0.00131395580545886,0.0402154469095778,"finalGG",0,0
12.5,40.8890054553084,0.0300391864606181,0.0300391864606181,0.00128861906117647,0.036284782127394,"finalGG",0,0
13.5,42.3861952149058,0.031693493695583,0.031693493695583,0.00133580307166858,0.0348272072944873,"finalGG",0,0
14.5,44.3438904344104,0.0330620260195862,0.0330620260195862,0.00139749993486534,0.0339229627651259,"finalGG",0,0
15.5,47.9522169608265,0.035614013512764,0.035614013512764,0.00151121652662668,0.0343166573076925,"finalGG",0,0
16.5,51.2094784678641,0.0378796731094645,0.0378796731094645,0.00161386928666489,0.0344266206506896,"finalGG",0,0
17.5,54.9351327818894,0.0404862359657432,0.0404862359657432,0.00173128346954725,0.0348209098882338,"finalGG",0,0
18.5,54.8972513089005,0.0404106272526642,0.0404106272526642,0.00173008963302285,0.0329159850924241,"finalGG",0,0
19.5,59.455579868709,0.0432965006015693,0.0432965006015693,0.00187374558659439,0.0338209648568271,"finalGG",0,0
20.5,60.6487794149989,0.0446433150393547,0.0446433150393547,0.00191134933024174,0.0328167968987333,"finalGG",0,0
21.5,64.0070780800708,0.0482612425952334,0.0482612425952334,0.00201718628139148,0.0330230762706782,"finalGG",0,0
22.5,66.4915292019617,0.0506295525526244,0.0506295525526244,0.00209548388331602,0.0327802143000061,"finalGG",0,0
23.5,67.8469710669078,0.052165855170994,0.052165855170994,0.00213820070178682,0.0320251068242031,"finalGG",0,0
24.5,71.4858718125431,0.0556125123173171,0.0556125123173171,0.00225288084160289,0.0323654849769994,"finalGG",0,0
