"","Distance","MeanCounts","MeanBinDensity","MeanTotalDensity","MeanPropOcc","SDPropOcc","source","TimePoint","Position"
"1",0.5,4.05555555555556,0.318015378332358,2.46066487338764e-06,0.0300963084672035,0.0210203155784043,"finalGG",0,2
"2",1.5,2.46504559270517,0.151491583802591,1.37548050915621e-06,0.00258429827435548,0.00260269341901247,"finalGG",0,2
"3",2.5,0.365930599369085,0.0244105055601733,1.70248709139186e-07,0.000141181036276811,0.000327333281569637,"finalGG",0,2
"4",3.5,0.123417721518987,0.0101599266449716,5.4514849454249e-08,2.52561955418462e-05,9.1989299561747e-05,"finalGG",0,2
"5",4.5,0.117088607594937,0.00735391748980729,4.94751485411758e-08,1.42908164641486e-05,5.27963074805332e-05,"finalGG",0,2
"6",5.5,0.104430379746835,0.00756781598995858,4.59805459828138e-08,8.96648256280865e-06,3.83148740509366e-05,"finalGG",0,2
"7",6.5,0.0791139240506329,0.00775128919551613,3.26255615129754e-08,5.24771860624297e-06,2.82819930420062e-05,"finalGG",0,2
"8",7.5,0.0981012658227848,0.00591062155144434,4.26746993472731e-08,5.0956345491329e-06,1.99248320035005e-05,"finalGG",0,2
"9",8.5,0.104430379746835,0.0081447452398681,4.40856121141675e-08,4.46763896672585e-06,1.95821357408954e-05,"finalGG",0,2
"10",9.5,0.10126582278481,0.00622618590973021,4.05504793173841e-08,3.53748160362958e-06,1.69758379475091e-05,"finalGG",0,2
"11",10.5,0.139240506329114,0.0088204833141542,5.7139102300875e-08,4.13982556960774e-06,2.29025923823527e-05,"finalGG",0,2
"12",11.5,0.107594936708861,0.0119383025553912,5.10520734575111e-08,2.77103236545525e-06,1.19436877520723e-05,"finalGG",0,2
"13",12.5,0.0917721518987342,0.00887434471295231,5.02942020809994e-08,2.34715122636879e-06,9.74750590412771e-06,"finalGG",0,2
"14",13.5,0.129032258064516,0.00854074241171015,5.22545751337439e-08,2.52839939387741e-06,1.23017531384599e-05,"finalGG",0,2
"15",14.5,0.252427184466019,0.0139012910857571,1.07888823702836e-07,4.45108586351651e-06,1.65573404868647e-05,"finalGG",0,2
"16",15.5,0.359223300970874,0.0205001399176156,1.50702768921883e-07,5.60968328105005e-06,1.83700338891899e-05,"finalGG",0,2
"17",16.5,0.383116883116883,0.0237814494308001,1.62117758257832e-07,5.39052116714628e-06,1.77664208264768e-05,"finalGG",0,2
