"","Distance","MeanCounts","MeanBinDensity","MeanTotalDensity","MeanPropOcc","SDPropOcc","source","TimePoint","Position"
"1",0.5,1.78260869565217,0.580779848171152,1.3869595265536e-06,0.0135689637117566,0.00783595893828696,"finalGG",0,2
"2",1.5,1.5,0.234960317460317,1.60939141779728e-06,0.0016068448393751,0.00177036754514523,"finalGG",0,2
"3",2.5,0.678571428571429,0.10484693877551,6.29131264284781e-07,0.000305523345644844,0.000377313417563076,"finalGG",0,2
"4",3.5,0.333333333333333,0.0582010582010582,1.6541246566129e-07,7.66283196690132e-05,0.000112497450814297,"finalGG",0,2
"5",4.5,0.0909090909090909,0.012987012987013,3.08046554240198e-08,1.09106192594092e-05,5.11753405237662e-05,"finalGG",0,2
"6",5.5,0,0,0,0,0,"finalGG",0,2
"7",6.5,0,0,0,0,0,"finalGG",0,2
"8",7.5,0,0,0,0,0,"finalGG",0,2
"9",8.5,0,0,0,0,0,"finalGG",0,2
"10",9.5,0,0,0,0,0,"finalGG",0,2
"11",10.5,0,0,0,0,0,"finalGG",0,2
"12",11.5,0,0,0,0,0,"finalGG",0,2
"13",12.5,0,0,0,0,0,"finalGG",0,2
"14",13.5,0,0,0,0,0,"finalGG",0,2
"15",14.5,0,0,0,0,0,"finalGG",0,2
"16",15.5,0,0,0,0,0,"finalGG",0,2
"17",16.5,0.0454545454545455,0.0151515151515152,1.8474185298776e-08,6.2990760266517e-07,2.95452854677331e-06,"finalGG",0,2
"18",17.5,0.0454545454545455,0.00505050505050505,2.23177545518268e-08,7.06451305407031e-07,3.31355033642897e-06,"finalGG",0,2
"19",18.5,0,0,0,0,0,"finalGG",0,2
"20",19.5,0.181818181818182,0.0505050505050505,1.13416176927516e-07,2.7193668726178e-06,6.57419244302788e-06,"finalGG",0,2
"21",20.5,0.0952380952380952,0.0317460317460317,4.29073957714997e-08,9.10473395150247e-07,2.87556846339681e-06,"finalGG",0,2
"22",21.5,0.263157894736842,0.0292397660818713,1.29208052668471e-07,2.72235818503032e-06,1.1866484216668e-05,"finalGG",0,2
"23",22.5,0.263157894736842,0.037593984962406,9.22079545627826e-08,1.74310234673339e-06,2.99973898885319e-06,"finalGG",0,2
