"","Distance","MeanCounts","MeanBinDensity","MeanTotalDensity","MeanPropOcc","SDPropOcc","source","TimePoint","Position"
"1",0.5,43.61,0.00600133424634315,1.86686721754204e-05,0.322452681905986,0.175346724765367,"finalGG",0,2
"2",1.5,113.926,0.0152021276090622,4.75363248337436e-05,0.120509912449284,0.0809135715071077,"finalGG",0,2
"3",2.5,129.916,0.0165874976621899,5.31018691506917e-05,0.0506718731691773,0.0458064687283499,"finalGG",0,2
"4",3.5,148.072,0.0183534857478832,6.04120789013584e-05,0.0297057041096627,0.0286642635435778,"finalGG",0,2
"5",4.5,160.7,0.0194738662797167,6.4664062524432e-05,0.0195957521351355,0.0184117289337514,"finalGG",0,2
"6",5.5,168.28,0.020462626992603,6.78954267143459e-05,0.0138248193537652,0.0128762679378298,"finalGG",0,2
"7",6.5,171.313,0.0210917599019407,6.9502946798691e-05,0.0101628962005799,0.00940294786050887,"finalGG",0,2
"8",7.5,182.764,0.022790312243278,7.40472619828763e-05,0.00822103918742948,0.00739683666291062,"finalGG",0,2
"9",8.5,186.404,0.0232174438777572,7.48472992001095e-05,0.00656836262114485,0.00557872010986355,"finalGG",0,2
"10",9.5,184.546,0.0229006419220679,7.37438546156392e-05,0.00527845163568218,0.00430228857150805,"finalGG",0,2
"11",10.5,192.761,0.0240957294987831,7.75165214872995e-05,0.00464047160498075,0.00359280807573914,"finalGG",0,2
"12",11.5,204.018,0.0256633527994383,8.2469223167944e-05,0.00425386941346041,0.00315530561858345,"finalGG",0,2
"13",12.5,217.706,0.027482665384552,8.81640750856256e-05,0.00398788278398816,0.0029684228309563,"finalGG",0,2
"14",13.5,235.161,0.0295293560745483,9.39940466897662e-05,0.00379545081563465,0.00278207773246042,"finalGG",0,2
"15",14.5,250.662,0.0311567163697982,9.98122559767062e-05,0.00361447795637179,0.00268907709960883,"finalGG",0,2
"16",15.5,260.584,0.0322747123007134,0.00010497271304697,0.00343278632299945,0.00267058488703949,"finalGG",0,2
"17",16.5,266.479,0.0328845353137104,0.000107824597259523,0.00320874013722188,0.0024326850566452,"finalGG",0,2
"18",17.5,270.558,0.0331038257753669,0.000108820685787257,0.00298058151841826,0.00230318612748245,"finalGG",0,2
"19",18.5,297.963,0.0363658353870553,0.000118942623097518,0.00300364216278763,0.00217648265518294,"finalGG",0,2
"20",19.5,326.92,0.0398991069614231,0.000129539266076133,0.00302490788872682,0.00206294996869945,"finalGG",0,2
"21",20.5,340.815,0.0419164586588354,0.000135418096771652,0.00293583342062916,0.00196485333745849,"finalGG",0,2
"22",21.5,350.419,0.0431772510757395,0.000138744816706306,0.00280218893263246,0.00179165527350759,"finalGG",0,2
"23",22.5,371.236,0.0454022101479828,0.000146190082801431,0.00275626753993817,0.00168740818823968,"finalGG",0,2
"24",23.5,388.163,0.0478281003091568,0.000153565324613125,0.00271896362758292,0.0017079699085221,"finalGG",0,2
"25",24.5,399.194,0.0493006697159557,0.000159448120923314,0.00266209765002733,0.00166761994138572,"finalGG",0,2
"26",25.5,409.397397397397,0.0504528354678666,0.000162510409031992,0.00255889659723882,0.0015450181495208,"finalGG",0,2
"27",26.5,420.313313313313,0.051268989379219,0.000164374352975077,0.00243940427369926,0.00139698955338286,"finalGG",0,2
"28",27.5,434.293293293293,0.0531557764025472,0.000169628860786633,0.0023891435463337,0.00139832395132494,"finalGG",0,2
"29",28.5,454.923923923924,0.0559726474335998,0.000177421996834285,0.00238036947380578,0.00142532606789433,"finalGG",0,2
"30",29.5,467.2640562249,0.0580278915178477,0.000182097232753751,0.00233128789336245,0.00135228669628592,"finalGG",0,2
"31",30.5,43.9613821138211,0.00549105625789942,1.70489286201134e-05,0.000209519669239943,0.000129602845728903,"finalGG",0,2
"32",0.5,1.159,0.000175306377824356,5.14511921238743e-07,0.00848506858123072,0.0443719701598437,"finalRG",0,2
"33",1.5,10.764,0.00144117286406704,4.63757438017182e-06,0.0113498296739618,0.0313314574426846,"finalRG",0,2
"34",2.5,32.429,0.00426571572933907,1.39992994005242e-05,0.0127083377552056,0.0259788122490366,"finalRG",0,2
"35",3.5,54.658,0.00711904172237656,2.33677519732973e-05,0.0110824177588328,0.0192062344551206,"finalRG",0,2
"36",4.5,77.687,0.010171807390307,3.21669046876904e-05,0.00954854902973057,0.0138339717906551,"finalRG",0,2
"37",5.5,98.862,0.0131094561464838,4.05386509611106e-05,0.00815034944994643,0.0101039333850212,"finalRG",0,2
"38",6.5,118.128,0.0157122985840122,4.72384530830435e-05,0.00696002952476573,0.00763433966718535,"finalRG",0,2
"39",7.5,133.752,0.0180819483647866,5.33911321658345e-05,0.00596302709738004,0.00611178550000891,"finalRG",0,2
"40",8.5,148.944,0.0200819036831409,5.9045393153801e-05,0.00521282144966324,0.00496626050062092,"finalRG",0,2
"41",9.5,168.725,0.0222232141098086,6.66666675841962e-05,0.00478746879442148,0.00432324299420122,"finalRG",0,2
"42",10.5,185.736,0.0242558503063114,7.29366975413908e-05,0.00439372923613156,0.00373217493704886,"finalRG",0,2
"43",11.5,204.056,0.0263633819193143,7.94529818750581e-05,0.0041378130065556,0.00333333436995992,"finalRG",0,2
"44",12.5,224.19,0.0289826116015262,8.75558161675467e-05,0.00398513675311055,0.00323586991809185,"finalRG",0,2
"45",13.5,227.076,0.0294575795815516,8.86933584961124e-05,0.00358565740580309,0.00284806951510748,"finalRG",0,2
"46",14.5,245.176,0.0321163983653638,9.63415395802308e-05,0.00348603132052888,0.00261047187241613,"finalRG",0,2
"47",15.5,264.447,0.0342863768656403,0.000103226781814082,0.00338537603919543,0.00239794714769124,"finalRG",0,2
"48",16.5,270.882,0.0350608550759471,0.000104853670783889,0.00313884627030993,0.00214793172191482,"finalRG",0,2
"49",17.5,287.665,0.0377187548584447,0.000111058920644748,0.00304028740224984,0.0019722942148203,"finalRG",0,2
"50",18.5,303.738,0.0403852900593815,0.000117969714304882,0.00296417162853739,0.00192713336969773,"finalRG",0,2
"51",19.5,333.57,0.0443181539777648,0.000129234951198165,0.00300546748857972,0.0018541698378206,"finalRG",0,2
"52",20.5,350.697,0.0463518069715405,0.000135258885083348,0.00291813355807968,0.00174543053813995,"finalRG",0,2
"53",21.5,361.909,0.0475733724604437,0.000139418864751923,0.0028009867056264,0.00161209495559595,"finalRG",0,2
"54",22.5,382.737,0.0506129659332186,0.000148220420208828,0.0027828897817437,0.00156218367864855,"finalRG",0,2
"55",23.5,405.66,0.0537686702125141,0.00015797470601208,0.00278357759605579,0.00163226811347788,"finalRG",0,2
"56",24.5,423.072,0.0560298858351539,0.00016417908627604,0.00271882515617321,0.00155345367084251,"finalRG",0,2
"57",25.5,431.771,0.0571597762983642,0.000167268908019328,0.00261079714843191,0.00147506621243709,"finalRG",0,2
"58",26.5,436.314,0.0577564550893975,0.000170008552857549,0.00251462299306011,0.00149741817452376,"finalRG",0,2
"59",27.5,442.236,0.0587172427688814,0.000172120430132916,0.00241528626605676,0.00133634554062362,"finalRG",0,2
"60",28.5,449.32,0.0595556483871353,0.000173284124354541,0.00230723445186026,0.0012624547073489,"finalRG",0,2
"61",29.5,457.803803803804,0.0614949374013576,0.000176319914716719,0.00224204237657,0.00120380783788842,"finalRG",0,2
"62",30.5,42.5501519756839,0.00578887132320393,1.64118153063011e-05,0.00020090056968542,0.000116650746048165,"finalRG",0,2
"63",0.5,53.186,0.00501126907990317,2.24805874593762e-05,0.390106898554064,0.222184810986154,"finalRR",0,2
"64",1.5,171.332,0.0160057718769077,7.25867571176051e-05,0.180456635501277,0.115170032476927,"finalRR",0,2
"65",2.5,186.308,0.0170265110725356,7.76534794156041e-05,0.0726252519688879,0.0605551344716897,"finalRR",0,2
"66",3.5,163.7,0.0145550626619077,6.65251327023063e-05,0.0328120625400338,0.0328007495014796,"finalRR",0,2
"67",4.5,160.48,0.014342495801744,6.53100965760298e-05,0.0195771908024935,0.0198764804023893,"finalRR",0,2
"68",5.5,168.06,0.0149996726611537,6.84750828997718e-05,0.0137870624750735,0.0134223824091449,"finalRR",0,2
"69",6.5,182.086,0.0159815846268438,7.32405698446638e-05,0.0107261339346613,0.0100555058532153,"finalRR",0,2
"70",7.5,218.106,0.0190508755065755,8.66581794299766e-05,0.00967539639019573,0.00853754320040246,"finalRR",0,2
"71",8.5,236.868,0.0205896871414152,9.37946133430758e-05,0.00823255830981263,0.00677822341474051,"finalRR",0,2
"72",9.5,256.754,0.0221619762305916,0.000100981658398386,0.00725815740032698,0.00563249860230189,"finalRR",0,2
"73",10.5,282.536,0.024432272445103,0.000110724049605906,0.00669594470937855,0.00489038986188085,"finalRR",0,2
"74",11.5,301.199,0.0260298334544534,0.000118478514433794,0.00615372144939393,0.00448715098918395,"finalRR",0,2
"75",12.5,318.269,0.0274167806739111,0.000125799385435991,0.00570693586289303,0.0041372459377932,"finalRR",0,2
"76",13.5,339.56,0.0292422451857363,0.000134413612086586,0.0054166395056522,0.0036219801108657,"finalRR",0,2
"77",14.5,356.067,0.0308681205558012,0.000141631774052894,0.00511795096373517,0.00329427377748332,"finalRR",0,2
"78",15.5,370.046,0.0319743439224023,0.000146817137861562,0.0048062875098455,0.00322425096472477,"finalRR",0,2
"79",16.5,390.835,0.0338146986324755,0.000155110544247646,0.00462077914827045,0.00304817832597856,"finalRR",0,2
"80",17.5,426.725,0.0367176591268742,0.000168543273930055,0.00459490637735886,0.00286975870687885,"finalRR",0,2
"81",18.5,461.366,0.0395407038344286,0.000181706303259099,0.00455909360810414,0.00278264483293385,"finalRR",0,2
"82",19.5,479.128,0.0407895345029413,0.000188169649153942,0.00436844654470417,0.00265754976965073,"finalRR",0,2
"83",20.5,513.508,0.0438163958649459,0.000201604624411465,0.00435111696407644,0.00253913195528897,"finalRR",0,2
"84",21.5,545.265,0.0465942056464879,0.000214382904112409,0.00431388718652761,0.0025453724547519,"finalRR",0,2
"85",22.5,544.855,0.0467363844903774,0.000213898372351852,0.00402192874810235,0.00226516479785957,"finalRR",0,2
"86",23.5,558.497,0.0476750099983716,0.000216747186984215,0.0038184107873694,0.00210781851620761,"finalRR",0,2
"87",24.5,581.783,0.0497927721737952,0.0002258601463254,0.00374440291284909,0.00208160874284495,"finalRR",0,2
"88",25.5,594.903,0.0507915535002769,0.000231328512953007,0.00361748007941519,0.00201981659569593,"finalRR",0,2
"89",26.5,623.425,0.0534335662220594,0.000243710449114397,0.00361475586881308,0.00195592847840534,"finalRR",0,2
"90",27.5,645.37,0.0555586689882079,0.000253725820863295,0.00357861938113509,0.00202411897111847,"finalRR",0,2
"91",28.5,676.515,0.0583503811621085,0.00026548004525984,0.00356098097496097,0.00190647513338171,"finalRR",0,2
"92",29.5,702.634,0.0610377795824612,0.000274075734680037,0.00351090037355975,0.00174780241819237,"finalRR",0,2
"93",30.5,65.035035035035,0.00566785122843156,2.51660604699374e-05,0.000309686296286264,0.000156706361906526,"finalRR",0,2
"94",0.5,1.252,0.000128957884711276,5.01929429055039e-07,0.00916979938562873,0.0478103307053248,"finalGR",0,2
"95",1.5,15.457,0.00157831861570831,6.7645026891333e-06,0.0162734996587621,0.0444296978911127,"finalGR",0,2
"96",2.5,46.743,0.00450847004411683,2.00615576025868e-05,0.018185103728655,0.0338902411546384,"finalGR",0,2
"97",3.5,83.097,0.00781017333020294,3.4254319420612e-05,0.016653308437284,0.0238836245391005,"finalGR",0,2
"98",4.5,116.286,0.0108456335960046,4.7445185501078e-05,0.0142012089861796,0.0171433031314415,"finalGR",0,2
"99",5.5,148.062,0.0136486058325541,6.02996017598707e-05,0.0121870835944176,0.0127183822239002,"finalGR",0,2
"100",6.5,170.942,0.0155668493035263,6.88717198428589e-05,0.0101105841977776,0.00974921963619648,"finalGR",0,2
"101",7.5,191.17,0.0172043733780164,7.57950915574576e-05,0.00851238189987817,0.00785615032126051,"finalGR",0,2
"102",8.5,220.088,0.019490039216144,8.65662028841244e-05,0.00769993751204986,0.00653066514716518,"finalGR",0,2
"103",9.5,257.394,0.0229244594727321,0.000102225731576289,0.00736633675464859,0.00575347046154952,"finalGR",0,2
"104",10.5,297.078,0.0267807325359235,0.000119121973835891,0.00717651558914989,0.00520508030116128,"finalGR",0,2
"105",11.5,312.298,0.0282928259639956,0.000124290190071957,0.00646661070305583,0.00424521770076551,"finalGR",0,2
