concentration,value,condition,replicate
0,325000000,static,1
0.5,325000000,static,1
2,150000000,static,1
8,130000000,static,1
32,145000000,static,1
128,57750000,static,1
0,237500000,stirred,1
0.5,220000000,stirred,1
2,212500000,stirred,1
8,14000000,stirred,1
32,1,stirred,1
128,1,stirred,1
0,425000000,static,2
2,575000000,static,2
8,400000000,static,2
32,450000000,static,2
64,90000000,static,2
128,70000000,static,2
256,635000,static,2
0,350000000,stirred,2
2,700000000,stirred,2
8,425000000,stirred,2
32,575000000,stirred,2
64,8750000,stirred,2
128,1,stirred,2
256,1,stirred,2
0,345000000,static,3
2,432500000,static,3
8,375000000,static,3
32,47500000,static,3
64,46000000,static,3
128,83150000,static,3
256,15400000,static,3
0,310000000,stirred,3
2,340000000,stirred,3
8,185000000,stirred,3
32,187500000,stirred,3
64,20750000,stirred,3
128,72500,stirred,3
256,1,stirred,3
