TimePoint,Luminescence,BioReplicate,TechReplicate,Condition,Strain
0,100,1,1,shaking,pqsL
1,19.73177723,1,1,shaking,pqsL
2,45.71850394,1,1,shaking,pqsL
3,29.65004374,1,1,shaking,pqsL
4,40.73086156,1,1,shaking,pqsL
5,15.93954336,1,1,shaking,pqsL
6,12.65367728,1,1,shaking,pqsL
7,36.2305581,1,1,shaking,pqsL
8,0.967885321,1,1,shaking,pqsL
9,0,1,1,shaking,pqsL
10,0,1,1,shaking,pqsL
0,100,2,1,shaking,pqsL
1,31.01003344,2,1,shaking,pqsL
2,32.02013845,2,1,shaking,pqsL
3,19.62511715,2,1,shaking,pqsL
4,14.04425323,2,1,shaking,pqsL
5,15.14863258,2,1,shaking,pqsL
6,10.05229838,2,1,shaking,pqsL
7,5.735520246,2,1,shaking,pqsL
8,2.266970387,2,1,shaking,pqsL
9,1.731235955,2,1,shaking,pqsL
10,2.823529412,2,1,shaking,pqsL
0,100,3,1,shaking,pqsL
1,11.02431248,3,1,shaking,pqsL
2,9.511009437,3,1,shaking,pqsL
3,0,3,1,shaking,pqsL
4,0,3,1,shaking,pqsL
5,0,3,1,shaking,pqsL
6,0,3,1,shaking,pqsL
7,0,3,1,shaking,pqsL
8,0,3,1,shaking,pqsL
9,0,3,1,shaking,pqsL
10,0,3,1,shaking,pqsL
0,100,4,1,shaking,pqsL
1,42.91103866,4,1,shaking,pqsL
2,25.38638985,4,1,shaking,pqsL
3,16.43815475,4,1,shaking,pqsL
4,6.686872514,4,1,shaking,pqsL
5,1.842360986,4,1,shaking,pqsL
6,0,4,1,shaking,pqsL
7,0,4,1,shaking,pqsL
8,0,4,1,shaking,pqsL
9,0,4,1,shaking,pqsL
10,0,4,1,shaking,pqsL
0,100,1,2,shaking,pqsL
1,43.46846847,1,2,shaking,pqsL
2,43.38582677,1,2,shaking,pqsL
3,40.62117235,1,2,shaking,pqsL
4,18.53827687,1,2,shaking,pqsL
5,2.478293493,1,2,shaking,pqsL
6,12.04994512,1,2,shaking,pqsL
7,0,1,2,shaking,pqsL
8,0,1,2,shaking,pqsL
9,0,1,2,shaking,pqsL
10,1.104823879,1,2,shaking,pqsL
0,100,2,2,shaking,pqsL
1,34.22073579,2,2,shaking,pqsL
2,30.11327879,2,2,shaking,pqsL
3,26.17307092,2,2,shaking,pqsL
4,16.45359557,2,2,shaking,pqsL
5,16.99167658,2,2,shaking,pqsL
6,18.57418112,2,2,shaking,pqsL
7,6.47360328,2,2,shaking,pqsL
8,2.146241458,2,2,shaking,pqsL
9,6.040449438,2,2,shaking,pqsL
10,2.239572193,2,2,shaking,pqsL
0,100,3,2,shaking,pqsL
1,48.57712236,3,2,shaking,pqsL
2,23.42007435,3,2,shaking,pqsL
3,20.98159509,3,2,shaking,pqsL
4,14.11764706,3,2,shaking,pqsL
5,6.282010749,3,2,shaking,pqsL
6,0,3,2,shaking,pqsL
7,0,3,2,shaking,pqsL
8,0,3,2,shaking,pqsL
9,0,3,2,shaking,pqsL
10,0,3,2,shaking,pqsL
0,100,4,2,shaking,pqsL
1,42.9669306,4,2,shaking,pqsL
2,25.88619762,4,2,shaking,pqsL
3,16.73956993,4,2,shaking,pqsL
4,9.668497822,4,2,shaking,pqsL
5,4.887529242,4,2,shaking,pqsL
6,1.637513172,4,2,shaking,pqsL
7,0.164884443,4,2,shaking,pqsL
8,1.646435288,4,2,shaking,pqsL
9,1.615763547,4,2,shaking,pqsL
10,0.636720026,4,2,shaking,pqsL
0,100,1,1,static,pqsL
1,166.3390663,1,1,static,pqsL
2,115.4527559,1,1,static,pqsL
3,63.0096238,1,1,static,pqsL
4,45.90557482,1,1,static,pqsL
5,47.6685604,1,1,static,pqsL
6,28.032382,1,1,static,pqsL
7,0,1,1,static,pqsL
8,0,1,1,static,pqsL
9,0,1,1,static,pqsL
10,0,1,1,static,pqsL
0,100,2,1,static,pqsL
1,52.93645485,2,1,static,pqsL
2,52.92007552,2,1,static,pqsL
3,52.0399875,2,1,static,pqsL
4,53.66318377,2,1,static,pqsL
5,54.83353151,2,1,static,pqsL
6,48.1255161,2,1,static,pqsL
7,45.0435674,2,1,static,pqsL
8,32.41457859,2,1,static,pqsL
9,32.31460674,2,1,static,pqsL
10,29.36470588,2,1,static,pqsL
0,100,3,1,static,pqsL
1,65.21323236,3,1,static,pqsL
2,42.13325708,3,1,static,pqsL
3,8.582499193,3,1,static,pqsL
4,9.185776005,3,1,static,pqsL
5,0,3,1,static,pqsL
6,18.13124108,3,1,static,pqsL
7,0,3,1,static,pqsL
8,0,3,1,static,pqsL
9,0,3,1,static,pqsL
10,0,3,1,static,pqsL
0,100,4,1,static,pqsL
1,124.6390312,4,1,static,pqsL
2,115.6478278,4,1,static,pqsL
3,114.4642529,4,1,static,pqsL
4,109.6798636,4,1,static,pqsL
5,109.6634875,4,1,static,pqsL
6,106.3575694,4,1,static,pqsL
7,107.7268023,4,1,static,pqsL
8,103.5732604,4,1,static,pqsL
9,105.0789876,4,1,static,pqsL
10,102.3848416,4,1,static,pqsL
0,100,1,2,static,pqsL
1,218.4684685,1,2,static,pqsL
2,96.95866142,1,2,static,pqsL
3,41.99475066,1,2,static,pqsL
4,77.60736196,1,2,static,pqsL
5,25.16882838,1,2,static,pqsL
6,34.467618,1,2,static,pqsL
7,5.64893478,1,2,static,pqsL
8,0,1,2,static,pqsL
9,0,1,2,static,pqsL
10,0,1,2,static,pqsL
0,100,2,2,static,pqsL
1,206.7558528,2,2,static,pqsL
2,181.0572687,2,2,static,pqsL
3,193.5020306,2,2,static,pqsL
4,208.0516288,2,2,static,pqsL
5,235.4934602,2,2,static,pqsL
6,198.4035233,2,2,static,pqsL
7,205.7406458,2,2,static,pqsL
8,184.9202733,2,2,static,pqsL
9,184.9438202,2,2,static,pqsL
10,180.7058824,2,2,static,pqsL
0,100,3,2,static,pqsL
1,39.9920287,3,2,static,pqsL
2,25.22733772,3,2,static,pqsL
3,13.91023571,3,2,static,pqsL
4,0,3,2,static,pqsL
5,0,3,2,static,pqsL
6,0,3,2,static,pqsL
7,0,3,2,static,pqsL
8,12.66922095,3,2,static,pqsL
9,0,3,2,static,pqsL
10,0,3,2,static,pqsL
0,100,4,2,static,pqsL
1,92.31485794,4,2,static,pqsL
2,79.50788158,4,2,static,pqsL
3,67.74489983,4,2,static,pqsL
4,58.95055882,4,2,static,pqsL
5,64.99910023,4,2,static,pqsL
6,51.91429575,4,2,static,pqsL
7,52.91479821,4,2,static,pqsL
8,46.60625748,4,2,static,pqsL
9,48.71751316,4,2,static,pqsL
10,48.18686704,4,2,static,pqsL
0,100,1,1,shaking,wt
1,1.171785422,1,1,shaking,wt
2,0.72765748,1,1,shaking,wt
3,0.618635171,1,1,shaking,wt
4,1.002267271,1,1,shaking,wt
5,0.369171401,1,1,shaking,wt
6,0.380351262,1,1,shaking,wt
7,0.220232649,1,1,shaking,wt
8,0.280475608,1,1,shaking,wt
9,0.166033301,1,1,shaking,wt
10,0,1,1,shaking,wt
0,100,2,1,shaking,wt
1,31.52508361,2,1,shaking,wt
2,27.30648206,2,1,shaking,wt
3,21.43705092,2,1,shaking,wt
4,16.90842041,2,1,shaking,wt
5,7.752675386,2,1,shaking,wt
6,10.5973025,2,1,shaking,wt
7,3.48692978,2,1,shaking,wt
8,0.567198178,2,1,shaking,wt
9,0,2,1,shaking,wt
10,0,2,1,shaking,wt
0,100,3,1,shaking,wt
1,35.30490235,3,1,shaking,wt
2,20.51472691,3,1,shaking,wt
3,9.854698095,3,1,shaking,wt
4,0,3,1,shaking,wt
5,0,3,1,shaking,wt
6,0,3,1,shaking,wt
7,0,3,1,shaking,wt
8,0,3,1,shaking,wt
9,0,3,1,shaking,wt
10,0,3,1,shaking,wt
0,100,4,1,shaking,wt
1,25.18397764,4,1,shaking,wt
2,19.02729719,4,1,shaking,wt
3,4.727072229,4,1,shaking,wt
4,3.025194166,4,1,shaking,wt
5,0,4,1,shaking,wt
6,0,4,1,shaking,wt
7,0,4,1,shaking,wt
8,0,4,1,shaking,wt
9,0,4,1,shaking,wt
10,0,4,1,shaking,wt
0,100,1,2,shaking,wt
1,1.334971335,1,2,shaking,wt
2,0.550393701,1,2,shaking,wt
3,0.817672791,1,2,shaking,wt
4,0.632435316,1,2,shaking,wt
5,0.33647765,1,2,shaking,wt
6,0.469538968,1,2,shaking,wt
7,0.14128872,1,2,shaking,wt
8,0.057939771,1,2,shaking,wt
9,0.482076396,1,2,shaking,wt
10,0,1,2,shaking,wt
0,100,2,2,shaking,wt
1,33.60535117,2,2,shaking,wt
2,31.34675897,2,2,shaking,wt
3,16.62605436,2,2,shaking,wt
4,7.320221266,2,2,shaking,wt
5,5.375148633,2,2,shaking,wt
6,0,2,2,shaking,wt
7,0,2,2,shaking,wt
8,0,2,2,shaking,wt
9,1.306966292,2,2,shaking,wt
10,0,2,2,shaking,wt
0,100,3,2,shaking,wt
1,44.65524113,3,2,shaking,wt
2,9.476694309,3,2,shaking,wt
3,2.651598321,3,2,shaking,wt
4,0,3,2,shaking,wt
5,0,3,2,shaking,wt
6,0,3,2,shaking,wt
7,0,3,2,shaking,wt
8,0,3,2,shaking,wt
9,0,3,2,shaking,wt
10,0,3,2,shaking,wt
0,100,4,2,shaking,wt
1,25.72426642,4,2,shaking,wt
2,21.12264514,4,2,shaking,wt
3,11.92427863,4,2,shaking,wt
4,2.480015154,4,2,shaking,wt
5,0.982544538,4,2,shaking,wt
6,0,4,2,shaking,wt
7,1.142117972,4,2,shaking,wt
8,0,4,2,shaking,wt
9,0,4,2,shaking,wt
10,0,4,2,shaking,wt
0,100,1,1,static,wt
1,3.241195741,1,1,static,wt
2,1.828740157,1,1,static,wt
3,1.646544182,1,1,static,wt
4,2.794078421,1,1,static,wt
5,2.165291028,1,1,static,wt
6,2.419045005,1,1,static,wt
7,2.523853091,1,1,static,wt
8,2.155795088,1,1,static,wt
9,3.77668952,1,1,static,wt
10,2.843400764,1,1,static,wt
0,100,2,1,static,wt
1,66,2,1,static,wt
2,51.06356199,2,1,static,wt
3,46.96657295,2,1,static,wt
4,23.4542102,2,1,static,wt
5,24.47681332,2,1,static,wt
6,17.10982659,2,1,static,wt
7,15.66376217,2,1,static,wt
8,5.781321185,2,1,static,wt
9,6.620224719,2,1,static,wt
10,0.862887701,2,1,static,wt
0,100,3,1,static,wt
1,81.94499801,3,1,static,wt
2,44.76980269,3,1,static,wt
3,20.65870197,3,1,static,wt
4,3.943502825,3,1,static,wt
5,0,3,1,static,wt
6,0,3,1,static,wt
7,0,3,1,static,wt
8,0,3,1,static,wt
9,0,3,1,static,wt
10,0,3,1,static,wt
0,100,4,1,static,wt
1,33.3581742,4,1,static,wt
2,18.49288735,4,1,static,wt
3,11.31042088,4,1,static,wt
4,0.966470923,4,1,static,wt
5,0,4,1,static,wt
